modelo;dia;fold;genotipo_treino;genotipo_teste;n_amostras_teste;accuracy;balanced_accuracy;precision;recall;f1_score;kappa;auc_roc
PLS-DA;D02;1;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D02;1;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.953125
PLS-DA;D02;2;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.78125
RandomForest;D02;2;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.828125
PLS-DA;D02;3;BR16;BR16;16;0.5;0.5;0.0;0.0;0.0;0.0;0.5
RandomForest;D02;3;BR16;BR16;16;0.6875;0.6875;0.6363636363636364;0.875;0.7368421052631579;0.375;0.75
PLS-DA;D02;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D02;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D02;1;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D02;1;CD202;CD202;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.5625
PLS-DA;D02;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D02;2;CD202;CD202;16;0.5;0.5;0.5;0.5;0.5;0.0;0.5
PLS-DA;D02;3;CD202;CD202;16;0.5;0.5;0.5;0.5;0.5;0.0;0.5
RandomForest;D02;3;CD202;CD202;16;0.5;0.5;0.5;0.5;0.5;0.0;0.5
PLS-DA;D02;4;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.5
RandomForest;D02;4;CD202;CD202;16;0.5625;0.5625;0.5555555555555556;0.625;0.5882352941176471;0.125;0.75
PLS-DA;D02;0;EMB48;EMB48;64;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.5
RandomForest;D02;0;EMB48;EMB48;64;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.5
PLS-DA;D03;1;BR16;BR16;16;0.5625;0.5625;0.5333333333333333;1.0;0.6956521739130435;0.125;0.9375
RandomForest;D03;1;BR16;BR16;16;0.5625;0.5625;0.5333333333333333;1.0;0.6956521739130435;0.125;1.0
PLS-DA;D03;2;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D03;2;BR16;BR16;16;0.9375;0.9375;1.0;0.875;0.9333333333333333;0.875;1.0
PLS-DA;D03;3;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.59375
RandomForest;D03;3;BR16;BR16;16;0.8125;0.8125;1.0;0.625;0.7692307692307693;0.625;0.71875
PLS-DA;D03;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D03;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;1;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D03;1;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
PLS-DA;D03;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D03;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D03;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;4;CD202;CD202;16;0.8125;0.8125;0.7272727272727273;1.0;0.8421052631578947;0.625;1.0
RandomForest;D03;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D03;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D03;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;3;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D03;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D03;4;EMB48;EMB48;16;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;1.0
RandomForest;D03;4;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D04;1;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D04;1;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
PLS-DA;D04;2;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D04;2;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.8125
PLS-DA;D04;3;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D04;3;BR16;BR16;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.71875
PLS-DA;D04;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D04;4;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
PLS-DA;D04;1;CD202;CD202;16;0.9375;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.875;1.0
RandomForest;D04;1;CD202;CD202;16;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;0.9375
PLS-DA;D04;2;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D04;2;CD202;CD202;16;0.5;0.5;0.0;0.0;0.0;0.0;0.75
PLS-DA;D04;3;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
RandomForest;D04;3;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
PLS-DA;D04;4;CD202;CD202;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.84375
RandomForest;D04;4;CD202;CD202;16;0.8125;0.8125;0.7777777777777778;0.875;0.8235294117647058;0.625;0.875
PLS-DA;D04;1;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D04;1;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.9453125
PLS-DA;D04;2;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
RandomForest;D04;2;EMB48;EMB48;16;0.5;0.5;0.0;0.0;0.0;0.0;0.75
PLS-DA;D04;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D04;3;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.75
