index_;dia;genotipo_teste;modelo;n_amostras_teste_mean;n_amostras_teste_std;accuracy_mean;accuracy_std;balanced_accuracy_mean;balanced_accuracy_std;precision_mean;precision_std;recall_mean;recall_std;f1_score_mean;f1_score_std;kappa_mean;kappa_std;auc_roc_mean;auc_roc_std
0;D02;BR16;PLS-DA;16.0;0.0;0.75;0.2041241452319315;0.75;0.2041241452319315;0.6666666666666666;0.4714045207910317;0.625;0.47871355387816905;0.6166666666666667;0.43333333333333335;0.5;0.408248290463863;0.8203125;0.23713650912150439
1;D02;BR16;RandomForest;16.0;0.0;0.796875;0.13858473641302158;0.796875;0.13858473641302158;0.9090909090909091;0.18181818181818182;0.71875;0.2576941016011038;0.7675438596491228;0.1584622678928565;0.59375;0.27716947282604315;0.8828125;0.11446490091581203
2;D02;CD202;PLS-DA;16.0;0.0;0.75;0.2041241452319315;0.75;0.2041241452319315;0.7916666666666666;0.25;0.75;0.28867513459481287;0.7416666666666667;0.21147629234082535;0.5;0.408248290463863;0.75;0.28867513459481287
3;D02;CD202;RandomForest;16.0;0.0;0.515625;0.03125;0.515625;0.03125;0.5138888888888888;0.027777777777777807;0.65625;0.2366211810750114;0.5637254901960784;0.08024855658698477;0.03125;0.0625;0.578125;0.1183105905375057
4;D02;EMB48;PLS-DA;64.0;;0.5;;0.5;;0.5;;1.0;;0.6666666666666666;;0.0;;0.5;
5;D02;EMB48;RandomForest;64.0;;0.5;;0.5;;0.5;;1.0;;0.6666666666666666;;0.0;;0.5;
6;D03;BR16;PLS-DA;16.0;0.0;0.765625;0.1795175827043134;0.765625;0.1795175827043134;0.8833333333333333;0.23333333333333336;0.75;0.28867513459481287;0.7572463768115942;0.16241155047356756;0.53125;0.3590351654086268;0.8828125;0.19494757575221772
7;D03;BR16;RandomForest;16.0;0.0;0.828125;0.19348099605215321;0.828125;0.19348099605215321;0.8833333333333333;0.23333333333333336;0.875;0.1767766952966369;0.8495540691192865;0.1411743237795806;0.65625;0.3869619921043065;0.9296875;0.140625
8;D03;CD202;PLS-DA;16.0;0.0;0.890625;0.1288470508005519;0.890625;0.1288470508005519;0.9318181818181819;0.13636363636363638;0.875;0.25;0.8771929824561403;0.15886640593223544;0.78125;0.2576941016011038;1.0;0.0
9;D03;CD202;RandomForest;16.0;0.0;0.9375;0.125;0.9375;0.125;1.0;0.0;0.875;0.25;0.9166666666666666;0.16666666666666674;0.875;0.25;1.0;0.0
10;D03;EMB48;PLS-DA;16.0;0.0;0.90625;0.11967838846954225;0.90625;0.11967838846954225;0.95;0.09999999999999996;0.875;0.25;0.8888888888888888;0.15713484026367724;0.8125;0.23935677693908455;1.0;0.0
11;D03;EMB48;RandomForest;16.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
12;D04;BR16;PLS-DA;16.0;0.0;0.8125;0.125;0.8125;0.125;0.8333333333333333;0.19245008972987526;0.875;0.25;0.8166666666666667;0.1374368541872553;0.625;0.25;1.0;0.0
13;D04;BR16;RandomForest;16.0;0.0;0.6875;0.12499999999999999;0.6875;0.12499999999999999;0.7916666666666666;0.24999999999999997;0.75;0.28867513459481287;0.7;0.0666666666666667;0.375;0.25;0.8828125;0.140625
14;D04;CD202;PLS-DA;16.0;0.0;0.796875;0.09375;0.796875;0.09375;0.8055555555555556;0.1666666666666667;0.875;0.25;0.8019607843137255;0.11209102688593299;0.59375;0.1875;0.9296875;0.08218611373989324
15;D04;CD202;RandomForest;16.0;0.0;0.734375;0.16437222747978644;0.734375;0.16437222747978644;0.5611111111111111;0.37859388972001823;0.71875;0.48277625942735286;0.6281045751633987;0.42042150256889876;0.46875;0.32874445495957294;0.859375;0.07864410870073697
16;D04;EMB48;PLS-DA;16.0;0.0;0.875;0.14433756729740643;0.875;0.14433756729740643;0.9166666666666666;0.16666666666666674;0.875;0.25;0.8666666666666667;0.1632993161855452;0.75;0.28867513459481287;1.0;0.0
17;D04;EMB48;RandomForest;16.0;0.0;0.75;0.2041241452319315;0.75;0.2041241452319315;0.5833333333333333;0.41943524640393054;0.75;0.5;0.65;0.443471156521669;0.5;0.408248290463863;0.861328125;0.13047498737585364
18;D05;BR16;PLS-DA;16.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
19;D05;BR16;RandomForest;16.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
20;D05;CD202;PLS-DA;16.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
21;D05;CD202;RandomForest;16.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
