dia;genotipo;modelo;cross_bacc;cross_auc;intra_bacc;intra_auc;deficit_bacc;deficit_auc
D02;BR16;PLS-DA;0.625;0.6611328125;0.75;0.8203125;0.125;0.1591796875
D02;BR16;RandomForest;0.5625;0.52001953125;0.796875;0.8828125;0.234375;0.36279296875
D02;CD202;PLS-DA;0.8125;0.7861328125;0.75;0.75;-0.0625;-0.0361328125
D02;CD202;RandomForest;0.640625;0.6416015625;0.515625;0.578125;-0.125;-0.0634765625
D02;EMB48;PLS-DA;0.625;0.673828125;0.5;0.5;-0.125;-0.173828125
D02;EMB48;RandomForest;0.5;0.50341796875;0.5;0.5;0.0;-0.00341796875
D03;BR16;PLS-DA;0.6875;0.962890625;0.765625;0.8828125;0.078125;-0.080078125
D03;BR16;RandomForest;0.6875;0.6875;0.828125;0.9296875;0.140625;0.2421875
D03;CD202;PLS-DA;0.875;0.978515625;0.890625;1.0;0.015625;0.021484375
D03;CD202;RandomForest;0.90625;1.0;0.9375;1.0;0.03125;0.0
D03;EMB48;PLS-DA;0.875;0.96875;0.90625;1.0;0.03125;0.03125
D03;EMB48;RandomForest;0.90625;1.0;1.0;1.0;0.09375;0.0
D04;BR16;PLS-DA;0.78125;0.90625;0.8125;1.0;0.03125;0.09375
D04;BR16;RandomForest;0.828125;0.95556640625;0.6875;0.8828125;-0.140625;-0.07275390625
D04;CD202;PLS-DA;0.90625;0.890625;0.796875;0.9296875;-0.109375;0.0390625
D04;CD202;RandomForest;0.75;0.9482421875;0.734375;0.859375;-0.015625;-0.0888671875
D04;EMB48;PLS-DA;0.890625;0.9873046875;0.875;1.0;-0.015625;0.0126953125
D04;EMB48;RandomForest;0.9375;0.9736328125;0.75;0.861328125;-0.1875;-0.1123046875
D05;BR16;PLS-DA;0.875;0.86328125;1.0;1.0;0.125;0.13671875
D05;BR16;RandomForest;0.875;0.91162109375;1.0;1.0;0.125;0.08837890625
D05;CD202;PLS-DA;0.8125;0.96484375;1.0;1.0;0.1875;0.03515625
D05;CD202;RandomForest;0.84375;0.9453125;1.0;1.0;0.15625;0.0546875
D05;EMB48;PLS-DA;0.9375;0.9599609375;0.8125;0.8671875;-0.125;-0.0927734375
D05;EMB48;RandomForest;0.75;0.876953125;0.6875;0.765625;-0.0625;-0.111328125
D06;BR16;PLS-DA;1.0;1.0;1.0;1.0;0.0;0.0
D06;BR16;RandomForest;1.0;1.0;1.0;1.0;0.0;0.0
D06;CD202;PLS-DA;0.921875;0.990234375;1.0;1.0;0.078125;0.009765625
D06;CD202;RandomForest;0.984375;1.0;0.96875;1.0;-0.015625;0.0
D06;EMB48;PLS-DA;0.953125;1.0;0.84375;1.0;-0.109375;0.0
D06;EMB48;RandomForest;0.9375;0.994140625;0.8125;1.0;-0.125;0.005859375
D09;BR16;PLS-DA;0.5625;0.6435546875;0.90625;1.0;0.34375;0.3564453125
D09;BR16;RandomForest;0.46875;0.76611328125;0.875;0.873046875;0.40625;0.10693359375
D09;CD202;PLS-DA;0.9444444444444444;0.9618055555555556;1.0;1.0;0.05555555555555558;0.03819444444444442
D09;CD202;RandomForest;0.8368055555555556;0.9201388888888888;1.0;1.0;0.16319444444444442;0.07986111111111116
D09;EMB48;PLS-DA;1.0;1.0;0.828125;0.9375;-0.171875;-0.0625
D09;EMB48;RandomForest;0.71875;0.9130859375;0.6875;0.80859375;-0.03125;-0.1044921875
D10;BR16;PLS-DA;0.5;0.6025390625;0.625;0.6875;0.125;0.0849609375
D10;BR16;RandomForest;0.40625;0.62744140625;0.5;0.40625;0.09375;-0.22119140625
D10;CD202;PLS-DA;0.8125;0.892578125;0.8125;0.9375;0.0;0.044921875
D10;CD202;RandomForest;0.671875;0.90087890625;0.90625;0.9375;0.234375;0.03662109375
D10;EMB48;PLS-DA;0.84375;0.9716796875;0.984375;1.0;0.140625;0.0283203125
D10;EMB48;RandomForest;0.59375;0.7197265625;0.953125;1.0;0.359375;0.2802734375
