modelo;dia;fold;genotipo_treino;genotipo_teste;n_amostras_teste;accuracy;balanced_accuracy;precision;recall;f1_score;kappa;auc_roc
PLS-DA;D02;1;BR16+CD202;EMB48;64;0.625;0.625;0.75;0.375;0.5;0.25;0.673828125
RandomForest;D02;1;BR16+CD202;EMB48;64;0.5;0.5;0.5;0.125;0.2;0.0;0.50341796875
PLS-DA;D02;2;BR16+EMB48;CD202;64;0.8125;0.8125;1.0;0.625;0.7692307692307693;0.625;0.7861328125
RandomForest;D02;2;BR16+EMB48;CD202;64;0.640625;0.640625;0.7647058823529411;0.40625;0.5306122448979592;0.28125;0.6416015625
PLS-DA;D02;3;CD202+EMB48;BR16;64;0.625;0.625;0.75;0.375;0.5;0.25;0.6611328125
RandomForest;D02;3;CD202+EMB48;BR16;64;0.5625;0.5625;0.5588235294117647;0.59375;0.5757575757575758;0.125;0.52001953125
PLS-DA;D03;1;BR16+CD202;EMB48;64;0.875;0.875;1.0;0.75;0.8571428571428571;0.75;0.96875
RandomForest;D03;1;BR16+CD202;EMB48;64;0.90625;0.90625;1.0;0.8125;0.896551724137931;0.8125;1.0
PLS-DA;D03;2;BR16+EMB48;CD202;64;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;0.978515625
RandomForest;D03;2;BR16+EMB48;CD202;64;0.90625;0.90625;0.8421052631578947;1.0;0.9142857142857143;0.8125;1.0
PLS-DA;D03;3;CD202+EMB48;BR16;64;0.6875;0.6875;0.6153846153846154;1.0;0.7619047619047619;0.375;0.962890625
RandomForest;D03;3;CD202+EMB48;BR16;64;0.6875;0.6875;0.6153846153846154;1.0;0.7619047619047619;0.375;0.6875
PLS-DA;D04;1;BR16+CD202;EMB48;64;0.890625;0.890625;0.9629629629629629;0.8125;0.8813559322033898;0.78125;0.9873046875
RandomForest;D04;1;BR16+CD202;EMB48;64;0.9375;0.9375;0.9666666666666667;0.90625;0.9354838709677419;0.875;0.9736328125
PLS-DA;D04;2;BR16+EMB48;CD202;64;0.90625;0.90625;0.8421052631578947;1.0;0.9142857142857143;0.8125;0.890625
RandomForest;D04;2;BR16+EMB48;CD202;64;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.9482421875
PLS-DA;D04;3;CD202+EMB48;BR16;64;0.78125;0.78125;0.6956521739130435;1.0;0.8205128205128205;0.5625;0.90625
RandomForest;D04;3;CD202+EMB48;BR16;64;0.828125;0.828125;0.7441860465116279;1.0;0.8533333333333334;0.65625;0.95556640625
PLS-DA;D05;1;BR16+CD202;EMB48;64;0.9375;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.875;0.9599609375
RandomForest;D05;1;BR16+CD202;EMB48;64;0.75;0.75;0.7;0.875;0.7777777777777778;0.5;0.876953125
PLS-DA;D05;2;BR16+EMB48;CD202;64;0.8125;0.8125;0.7631578947368421;0.90625;0.8285714285714286;0.625;0.96484375
RandomForest;D05;2;BR16+EMB48;CD202;64;0.84375;0.84375;0.8666666666666667;0.8125;0.8387096774193549;0.6875;0.9453125
PLS-DA;D05;3;CD202+EMB48;BR16;64;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;0.86328125
RandomForest;D05;3;CD202+EMB48;BR16;64;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;0.91162109375
PLS-DA;D06;1;BR16+CD202;EMB48;64;0.953125;0.953125;1.0;0.90625;0.9508196721311475;0.90625;1.0
RandomForest;D06;1;BR16+CD202;EMB48;64;0.9375;0.9375;1.0;0.875;0.9333333333333333;0.875;0.994140625
PLS-DA;D06;2;BR16+EMB48;CD202;64;0.921875;0.921875;0.9090909090909091;0.9375;0.9230769230769231;0.84375;0.990234375
RandomForest;D06;2;BR16+EMB48;CD202;64;0.984375;0.984375;0.9696969696969697;1.0;0.9846153846153847;0.96875;1.0
PLS-DA;D06;3;CD202+EMB48;BR16;64;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;3;CD202+EMB48;BR16;64;1.0;1.0;1.0;1.0;1.0;1.0;1.0
