fold;genotipo_treino;genotipo_teste;modelo;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1924;1935;1914;1945;1950;1360;719;1929;1919;1350;1375;1366;1361;1351;1841;1925;1915;1831;1928;1938;1947;1916;1958;713;1379;1374;404;1388;1373;1363;1918;403;1952;1942;410;1933;1833;1852;1547;1537;1557;1355;1365;1940;1378;1368;716;1931;1651;1640;1661;1922;1932;1941;1912;1951;748;738;1939;1917;1934;1926;1943;721;711;726;705;1376;1837;1847;1499;1488;1478;1356;1878;1840;1377;709;1372;704;1345;1339;402;714;1354
1;BR16+CD202;EMB48;PLS-DA;128;B3_EMB48_IRRIG_REPROD00000.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.38749260567770544;True;-1.5236629827152728;-1.5111612341940102;-1.502572253297984;-1.4765768470820335;-1.4525351018541468;0.8365681520922145;0.09915666251764274;-1.5217831573638008;-1.5183244916523568;0.8816972468694249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;129;B4_EMB48_IRRIG_REPROD00000.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.44013330000941914;True;-1.5321531007703302;-1.5111097810982366;-1.5171225145059677;-1.467870848469679;-1.440078497546442;0.8289014760882663;0.20347623514816968;-1.5263121272289684;-1.5298783235299964;0.8661204358087699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;130;B4_EMB48_IRRIG_REPROD00001.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.44406303467667296;True;-1.5328607894297641;-1.511351762746663;-1.5174601227027178;-1.4680049347985875;-1.4398523105776972;0.8276643436572974;0.204125684456057;-1.526864530571872;-1.530706881102305;0.8646381700499114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;131;B4_EMB48_IRRIG_REPROD00002.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4442174921393399;True;-1.5338345501410353;-1.5125418082638236;-1.5181276040559262;-1.4688765230862413;-1.4405462303711432;0.8270714759034992;0.20630731336988398;-1.528120984537131;-1.5314188371101705;0.8641542866695535;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;132;B4_EMB48_IRRIG_REPROD00003.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.44513360057696105;True;-1.5352076646260142;-1.513552242322921;-1.5192030004353732;-1.4694436600376521;-1.4409865735050087;0.8265781696195024;0.20690028520385434;-1.5293021163083684;-1.5326335854981987;0.8633302769774128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;133;B4_EMB48_IRRIG_REPROD00004.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4404999520970411;True;-1.4979401526987708;-1.481154114618825;-1.4825184828138664;-1.4450696015175408;-1.4211792046147653;0.8341259695017477;0.03487241954373518;-1.4941465956077544;-1.4951068653508799;0.878404399003115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;134;B4_EMB48_IRRIG_REPROD00005.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.43388875977092395;True;-1.499670019499831;-1.4831883862530262;-1.484160753017263;-1.4467297086055926;-1.4226526362405407;0.8357178769062421;0.035101290374678164;-1.49585711195277;-1.4965660102565848;0.8795931829716414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;135;B4_EMB48_IRRIG_REPROD00006.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.430142334712203;True;-1.502001815527693;-1.4852117170058936;-1.4863184461753853;-1.4484778644241207;-1.4244982089969245;0.8358480215178604;0.03659962046818805;-1.4979488892312542;-1.49855110824886;0.8799172934955476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;136;B4_EMB48_IRRIG_REPROD00007.asd;B4;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.4273743466768273;True;-1.5047269383910469;-1.4879633321691057;-1.4889103104238732;-1.4510261780102203;-1.42685048194967;0.835440958688747;0.03865303386957469;-1.5005815645671432;-1.501618687377898;0.8794950510519642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;137;B3_EMB48_IRRIG_REPROD00001.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.38998383710727097;True;-1.52550482092854;-1.5125551044001417;-1.5040500295397052;-1.4778823558937522;-1.454206049330777;0.8347226223814169;0.10288479539030117;-1.5232617851864358;-1.5196083225014634;0.8801985820664224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
