dia;fold;genotipos_treino;genotipo_teste;bandas_selecionadas;n_bandas;n_top5_proprio;n_sobrepostas_top5_proprio;fracao_top5_proprio;n_significativas_proprias;n_sobrepostas_significativas
D02;1;BR16+CD202;EMB48;"1924;1935;1914;1945;1950;1360;719;1929;1919;1350";10;0;0;;0;0
D02;2;BR16+EMB48;CD202;"1924;1935;1914;1945;1950";5;5;0;0.0;2017;5
D02;3;CD202+EMB48;BR16;"1360;719;1929;1919;1350";5;5;0;0.0;112;2
D03;1;BR16+CD202;EMB48;"1375;1366;1361;1351;1841;1925;1915;1935;1945;1831";10;5;0;0.0;1762;7
D03;2;BR16+EMB48;CD202;"1375;1366;1361;1351;1841;1928;1938;1947;1916;1958";10;5;0;0.0;1887;9
D03;3;CD202+EMB48;BR16;"1925;1915;1935;1945;1831;1928;1938;1947;1916;1958";10;5;0;0.0;1876;10
D04;1;BR16+CD202;EMB48;"713;1379;1374;404;1388;1373;1363;1928;1918;1938";10;5;0;0.0;1518;10
D04;2;BR16+EMB48;CD202;"713;1379;1374;404;1388;403;1952;1942;410;1933";10;5;0;0.0;1955;7
D04;3;CD202+EMB48;BR16;"1373;1363;1928;1918;1938;403;1952;1942;410;1933";10;5;0;0.0;631;10
D05;1;BR16+CD202;EMB48;"1833;1852;1547;1537;1557;1355;1929;1919;1365;1940";10;5;0;0.0;1864;10
D05;2;BR16+EMB48;CD202;"1833;1852;1547;1537;1557;1374;1378;1368;713;716";10;5;0;0.0;1956;6
D05;3;CD202+EMB48;BR16;"1355;1929;1919;1365;1940;1374;1378;1368;713;716";10;5;0;0.0;2026;6
D06;1;BR16+CD202;EMB48;"1919;1931;1651;1640;1661;1922;1932;1941;1912;1951";10;5;0;0.0;1879;7
D06;2;BR16+EMB48;CD202;"1919;1931;1651;1640;1661;748;738;1928;1939;1917";10;5;0;0.0;1986;10
D06;3;CD202+EMB48;BR16;"1922;1932;1941;1912;1951;748;738;1928;1939;1917";10;5;0;0.0;2030;10
D09;1;BR16+EMB48;CD202;"1934;1926;1943;1952;1917;721;711;726;705;1376";10;5;0;0.0;1934;6
D09;2;BR16+CD202;EMB48;"1934;1926;1943;1952;1917;1837;1847;1499;1488;1478";10;5;0;0.0;1574;8
D09;3;CD202+EMB48;BR16;"1837;1847;1499;1488;1478;721;711;726;705;1376";10;5;0;0.0;1100;7
D10;1;BR16+CD202;EMB48;"1360;1356;1878;1840;1377;709;1372;1363;704;721";10;5;0;0.0;1183;10
D10;2;BR16+EMB48;CD202;"1360;1356;1878;1840;1377;1345;1339;402;714;1354";10;5;0;0.0;1849;8
D10;3;CD202+EMB48;BR16;"709;1372;1363;704;721;1345;1339;402;714;1354";10;5;0;0.0;1289;3
